title,price,brand,quantity,product_code
"Britannia Marie Gold Biscuit - Crunchy, Light, Zero Trans Fat, Ready To Eat, 950 g",₹140,Britannia,950 g,40197801
"fresho! Hot Chips - Spicy Potato Chips, 100 g",₹50,fresho!,,40325611
"Quaker Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook, 2x1 Kg Multipack",₹398,Quaker,2x1 Kg,1216013
"Britannia Good Day - Cashew Cookies, 1 Kg",₹300,Britannia,1 Kg,40203379
"fresho! Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels, 500 g Pouch",₹100,fresho!,500 g,40251515
"Kelloggs Muesli Fruit Nut & Seeds - 12 In 1 Power Breakfast, 750 g",₹499,Kelloggs,750 g,40189244
"PARLE Gluco Biscuits - Parle-G, 800 g Pouch",₹100,PARLE,800 g,102102
"Britannia Bourbon Cream Biscuit - Chocolate Flavor, 12 x 50 g Multipack",₹120,Britannia,12 x 50 g,1203907
"Britannia nutri choice Digestive High Fibre Biscuits - Made From Whole Wheat & Bran, Healthy Snack, 1 kg",₹169,Britannia,1 kg,40197803
"fresho! Hot Chips - Masala Fryums, Wheels, 50 g",₹50,fresho!,,40325613
"Lay's Potato Chips - American Style Cream & Onion Flavour, 2x90 g Multipack",₹100,Lay's,2x90 g,1212514
"Lay's Potato Chips - India's Masala Magic Flavour, 2x90 g Multipack",₹100,Lay's,2x90 g,1212516
"Nutella Hazelnut Spread with Cocoa, 15x350 g Multipack",₹5985,Nutella,15x350 g,1217130
"MAGGI  Nutri-licious Masala Veg Atta Noodles - Pouch, 290 g, Pack of 2, 2x290 g Multipack",₹224,MAGGI,2x290 g,1214677
"Kissan Jam - Mixed Fruit, 2 x 90 g Multipack",₹40,Kissan,2 x 90 g,1206550
"Dabur 100% Pure Honey - Sourced From Pristine Sources Like Himalayas & Sunderbans, 400 g (Buy 1 Get 1 Free)",₹399,Dabur,400 g,240125
